times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
53.8|1.0|1.0|0.0|-164077.90200326644|-164078.00290289315|-164078.06596515985
54.0|1.0|1.0|0.0|-164187.23398573522|-164187.01957402844|-164186.75471250832
54.2|1.0|1.0|0.0|-163854.21268290485|-163853.87214666468|-163853.48116061118
54.4|1.0|1.0|0.0|-163865.8413648836|-163865.27380448332|-163864.66840672304
54.6|1.0|1.0|0.0|-164274.63620251414|-164274.18215419393|-164273.6524311537
54.8|1.0|1.0|0.0|-164067.79196775108|-164066.95954583067|-164066.07667409693
55.0|1.0|1.0|0.0|-163787.385553126|-163787.0071795258|-163786.56574365895
55.2|1.0|1.0|0.0|-164321.8634882818|-164321.5481769483|-164321.18241580148
55.4|1.0|1.0|0.0|-164075.16863475114|-164074.865935871|-164074.5380120842
55.6|1.0|1.0|0.0|-164107.21663811157|-164106.51034072458|-164105.72836861754
55.8|1.0|1.0|0.0|-163823.9649617338|-163823.8388372004|-163823.66226285364
56.0|1.0|1.0|0.0|-164394.80060050497|-164393.90511631788|-164392.94656986409
56.2|1.0|1.0|0.0|-164382.36815727767|-164381.93933386414|-164381.4474481839
56.4|1.0|1.0|0.0|-164446.69823306677|-164446.2567971999|-164445.76491151963
56.6|1.0|1.0|0.0|-164374.62370007753|-164374.15703930397|-164373.62731626374
56.8|1.0|1.0|0.0|-164430.62299290363|-164430.04282005003|-164429.42480983643
57.0|1.0|1.0|0.0|-164390.74199861253|-164390.28795029235|-164389.75822725208
57.2|1.0|1.0|0.0|-164366.85225818754|-164366.47388458738|-164366.0576736272
57.4|1.0|1.0|0.0|-164124.71430095655|-164124.65123868987|-164124.52511415648
57.6|1.0|1.0|0.0|-163921.37294297692|-163921.2468184435|-163921.0828565501
57.8|1.0|1.0|0.0|-163964.08264444087|-163963.86823273412|-163963.61598366732
58.0|1.0|1.0|0.0|-164301.3429955679|-164301.0276842344|-164300.63669818087
58.2|1.0|1.0|0.0|-164259.89948582576|-164259.53372467897|-164259.1049012654
58.4|1.0|1.0|0.0|-164372.31428243816|-164371.74672203793|-164371.11609937096
58.6|1.0|1.0|0.0|-164074.7612832595|-164074.2189477659|-164073.60093755228
58.8|1.0|1.0|0.0|-164034.86809334756|-164034.08612124054|-164033.22847441348
59.0|1.0|1.0|0.0|-164277.35519767905|-164276.6993501054|-164276.00566517175
59.2|1.0|1.0|0.0|-164282.82900242825|-164282.5515284548|-164282.22360466796
59.4|1.0|1.0|0.0|-164226.3755967231|-164225.84587368285|-164225.29092573596
59.6|1.0|1.0|0.0|-164474.05131561417|-164474.0008658008|-164473.9125786274
59.8|1.0|1.0|0.0|-164503.01018187613|-164502.53090864923|-164501.98857315566
60.0|1.0|1.0|0.0|-164164.73495120587|-164163.83946701876|-164162.89353301836
60.2|1.0|1.0|0.0|-164334.30871749253|-164333.56458274552|-164332.75738573182
60.4|1.0|1.0|0.0|-164578.08683166862|-164577.40575918832|-164576.67423689464
60.6|1.0|1.0|0.0|-164130.76010427697|-164129.96551971658|-164129.12048534286
60.8|1.0|1.0|0.0|-164330.90828223145|-164330.32810937785|-164329.6974867109
61.0|1.0|1.0|0.0|-164258.37814645658|-164257.9619354964|-164257.4826622695
61.2|1.0|1.0|0.0|-164412.00776470095|-164411.65461600746|-164411.25101750062
61.4|1.0|1.0|0.0|-164112.78992168148|-164112.52506016137|-164112.22236128122
61.6|1.0|1.0|0.0|-164567.83306541553|-164567.35379218863|-164566.83668160174
61.8|1.0|1.0|0.0|-164621.30091507037|-164620.79641693682|-164620.26669389656
62.0|1.0|1.0|0.0|-164687.566879787|-164686.82274504|-164686.04077293296
62.2|1.0|1.0|0.0|-164615.58969285712|-164615.13564453693|-164614.63114640335
62.4|1.0|1.0|0.0|-164659.97248809275|-164659.2661907058|-164658.50944350543
62.6|1.0|1.0|0.0|-164646.1119182769|-164646.1119182769|-164646.04885601022
62.8|1.0|1.0|0.0|-164750.90331556852|-164751.11772727527|-164751.28168916868
63.0|1.0|1.0|0.0|-164775.69744761582|-164775.40736118902|-164775.06682494885
63.2|1.0|1.0|0.0|-164405.39581757656|-164404.5381707495|-164403.60484920238
63.4|1.0|1.0|0.0|-164515.95577883962|-164515.59001769277|-164515.16119427924
63.6|1.0|1.0|0.0|-164627.29431080408|-164627.31953571076|-164627.26908589742
63.8|1.0|1.0|0.0|-164110.80309610933|-164110.61390930926|-164110.36166024246
