times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.94, 0.0)|(1.0, 0.96, 0.0)|(1.0, 0.98, 0.0)|(1.0, 1.0, 0.0)
29.4|1.0|0.98|0.0|-164100.1059717057|-164100.00507207896|-164099.9293973589|-164099.80327282555
29.6|1.0|0.98|0.0|-163977.34887672192|-163977.13446501514|-163976.93266576176|-163976.6930291483
29.8|1.0|0.98|0.0|-163932.78192697512|-163932.2648163882|-163931.74770580127|-163931.180145401
30.0|1.0|0.98|0.0|-164117.51338324934|-164116.69357378228|-164115.8989892219|-164115.04134239483
30.2|1.0|0.98|0.0|-164204.66412135222|-164203.86953679187|-164203.10017713817|-164202.26775521776
30.4|1.0|0.98|0.0|-164231.4338587501|-164230.48792474967|-164229.5672156559|-164228.58344429545
30.6|1.0|0.98|0.0|-164110.2522740311|-164109.4450770174|-164108.62526755035|-164107.7676207233
30.8|1.0|0.98|0.0|-163970.3325424325|-163969.77759448555|-163969.26048389863|-163968.66769859171
31.0|1.0|0.98|0.0|-164133.5473217042|-164132.96714885058|-164132.41220090367|-164131.80680314338
31.2|1.0|0.98|0.0|-163924.47096414978|-163923.67637958942|-163922.90701993572|-163922.07459801534
31.4|1.0|0.98|0.0|-163867.36177542983|-163867.5131248699|-163867.66447430998|-163867.79059884336
31.6|1.0|0.98|0.0|-163777.23593959305|-163777.10981505967|-163776.9836905263|-163776.78189127287
31.8|1.0|0.98|0.0|-163775.7981199124|-163775.39452140554|-163774.9909228987|-163774.53687457848
32.0|1.0|0.98|0.0|-163553.17570602195|-163552.3811214616|-163551.62437426124|-163550.79195234086
32.2|1.0|0.98|0.0|-163758.34248449092|-163758.34248449092|-163758.36770939763|-163758.3298720376
32.4|1.0|0.98|0.0|-163840.4932284353|-163840.24097936854|-163840.00134275507|-163839.71125632827
32.6|1.0|0.98|0.0|-163597.94313826892|-163597.19900352194|-163596.48009368157|-163595.71073402787
32.8|1.0|0.98|0.0|-163971.009420737|-163970.34096071002|-163969.6851131364|-163968.96620329606
33.0|1.0|0.98|0.0|-163879.92084561483|-163879.60553428135|-163879.31544785455|-163878.97491161438
33.2|1.0|0.98|0.0|-163899.65942041556|-163899.2558219087|-163898.86483585517|-163898.4233999883
33.4|1.0|0.98|0.0|-164126.78773007228|-164126.3841315654|-164125.98053305855|-164125.53909719168
33.6|1.0|0.98|0.0|-164028.17095741295|-164027.578172106|-164026.9979992524|-164026.3547641321
33.8|1.0|0.98|0.0|-164088.50480458245|-164088.18949324897|-164087.89940682217|-164087.54625812866
34.0|1.0|0.98|0.0|-164015.35257521502|-164015.30212540165|-164015.27690049497|-164015.1760008683
34.2|1.0|0.98|0.0|-163972.3112091513|-163972.07157253782|-163971.81932347108|-163971.5418494976
34.4|1.0|0.98|0.0|-164028.81711136067|-164028.5396373872|-164028.28738832043|-164027.97207698695
34.6|1.0|0.98|0.0|-164000.52455716507|-164000.2344707383|-163999.9569967648|-163999.61646052467
34.8|1.0|0.98|0.0|-164058.15040027926|-164057.582839879|-164057.0152794787|-164056.40988171843
35.0|1.0|0.98|0.0|-164134.97057412314|-164134.3777888162|-164133.82284086928|-164133.217443109
35.2|1.0|0.98|0.0|-164204.29867244672|-164204.33650980674|-164204.37434716677|-164204.37434716677
35.4|1.0|0.98|0.0|-164585.99624648955|-164585.3151740092|-164584.6341015289|-164583.8899667819
35.6|1.0|0.98|0.0|-164585.63347047791|-164584.9271730909|-164584.2461006106|-164583.51457831694
35.8|1.0|0.98|0.0|-164629.46174583165|-164628.8689605247|-164628.28878767113|-164627.64555255082
36.0|1.0|0.98|0.0|-164310.6263425588|-164310.22274405195|-164309.83175799844|-164309.37770967823
36.2|1.0|0.98|0.0|-164549.98985952488|-164549.37184931125|-164548.75383909763|-164548.08537907063
36.4|1.0|0.98|0.0|-164392.9333148067|-164392.52971629985|-164392.15134269965|-164391.72251928612
36.6|1.0|0.98|0.0|-164708.32421706765|-164708.32421706765|-164708.36205442768|-164708.336829521
36.8|1.0|0.98|0.0|-164618.90192289263|-164618.3469749457|-164617.7920269988|-164617.17401678517
37.0|1.0|0.98|0.0|-164652.27009256452|-164651.94216877772|-164651.6142449909|-164651.24848384404
37.2|1.0|0.98|0.0|-164418.0881470084|-164417.5710364215|-164417.0665382879|-164416.52420279433
37.4|1.0|0.98|0.0|-164365.721240744|-164365.36809205048|-164365.052780717|-164364.67440711684
37.6|1.0|0.98|0.0|-164415.82307281898|-164415.33118713874|-164414.85191391184|-164414.33480332495
37.8|1.0|0.98|0.0|-164568.39762750015|-164567.81745464657|-164567.26250669963|-164566.64449648603
38.0|1.0|0.98|0.0|-164572.98858728586|-164571.99220347207|-164571.0336570183|-164569.98682339114
38.2|1.0|0.98|0.0|-164296.91422191437|-164296.7376475676|-164296.58629812754|-164296.35927396742
38.4|1.0|0.98|0.0|-164297.5418776965|-164296.8355803095|-164296.1545078292|-164295.3851481755
38.6|1.0|0.98|0.0|-164261.58441690056|-164260.9537942336|-164260.33578401996|-164259.66732399297
38.8|1.0|0.98|0.0|-164201.8206874626|-164201.4297014091|-164201.06394026225|-164200.63511684872
39.0|1.0|0.98|0.0|-164387.0021121794|-164386.3841019658|-164385.7787042055|-164385.11024417856
39.2|1.0|0.98|0.0|-164277.882971068|-164276.9874868809|-164276.10461514717|-164275.17129360003
39.4|1.0|0.98|0.0|-164413.6812561713|-164413.25243275776|-164412.84883425094|-164412.38217347738
39.6|1.0|0.98|0.0|-164292.4168770726|-164291.86192912565|-164291.30698117873|-164290.70158341844
39.8|1.0|0.98|0.0|-164418.85615761892|-164418.09941041857|-164417.38050057823|-164416.58591601785
40.0|1.0|0.98|0.0|-164480.8217962403|-164479.6866754398|-164478.55155463927|-164477.39120893207
40.2|1.0|0.98|0.0|-164445.73251819136|-164444.95054608432|-164444.16857397728|-164443.3361520569
40.4|1.0|0.98|0.0|-164424.16522298128|-164423.4589255943|-164422.79046556732|-164422.071555727
40.6|1.0|0.98|0.0|-164538.58905289558|-164538.1097796687|-164537.68095625518|-164537.1512332149
40.8|1.0|0.98|0.0|-164529.2160075005|-164528.57277238023|-164527.96737461994|-164527.29891459298
41.0|1.0|0.98|0.0|-164795.94744017537|-164795.2411427884|-164794.56007030807|-164793.81593556108
41.2|1.0|0.98|0.0|-164661.50269590557|-164660.7711736119|-164660.03965131822|-164659.27029166452
41.4|1.0|0.98|0.0|-164551.570847841|-164551.09157461414|-164550.62491384058|-164550.09519080035
41.6|1.0|0.98|0.0|-164764.9852243294|-164764.7960375293|-164764.6320756359|-164764.4050514758
41.8|1.0|0.98|0.0|-164598.34235090742|-164597.80001541384|-164597.2702923736|-164596.67750706663
42.0|1.0|0.98|0.0|-164665.64240192546|-164665.32709059198|-164665.03700416515|-164664.68385547167
42.2|1.0|0.98|0.0|-164599.23215653602|-164598.56369650905|-164597.9078489354|-164597.18893909507
42.4|1.0|0.98|0.0|-164849.35431757363|-164848.8372069867|-164848.33270885315|-164847.7651484529
42.6|1.0|0.98|0.0|-164530.23402318486|-164529.67907523795|-164529.12412729103|-164528.51872953074
42.8|1.0|0.98|0.0|-164695.15250534212|-164694.925481182|-164694.71106947522|-164694.4714328618
43.0|1.0|0.98|0.0|-164827.79721237486|-164827.41883877467|-164827.05307762782|-164826.63686666763
43.2|1.0|0.98|0.0|-164555.98505525338|-164555.7328061866|-164555.50578202648|-164555.24092050636
