times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(1.0, 0.0, 0.0)|(1.0, 0.02, 0.0)|(1.0, 0.04, 0.0)|(1.0, 0.06, 0.0)
31.6|1.0|0.02|0.0|0|4.473006576707121|8.946013153414242|13.419019730121363
31.8|1.0|0.02|0.0|0|4.346882043381338|8.693764086762677|13.040646130144014
32.0|1.0|0.02|0.0|0|4.2289556046569485|8.457911209313897|12.686866813970846
32.2|1.0|0.02|0.0|0|4.138776563258143|8.277553126516286|12.416329689774429
32.4|1.0|0.02|0.0|0|4.16841582866793|8.33683165733586|12.50524748600379
32.6|1.0|0.02|0.0|0|4.303369079399272|8.606738158798544|12.910107238197815
32.8|1.0|0.02|0.0|0|4.1816589046729495|8.363317809345899|12.544976714018848
33.0|1.0|0.02|0.0|0|4.191118244624231|8.382236489248463|12.573354733872693
33.2|1.0|0.02|0.0|0|4.439583575557335|8.87916715111467|13.318750726672006
33.4|1.0|0.02|0.0|0|4.190487621932989|8.380975243865977|12.571462865798967
33.6|1.0|0.02|0.0|0|3.535270670976024|7.070541341952048|10.605812012928071
33.8|1.0|0.02|0.0|0|4.159587111317669|8.319174222635338|12.478761333953006
34.0|1.0|0.02|0.0|0|4.08202052328852|8.16404104657704|12.24606156986556
34.2|1.0|0.02|0.0|0|4.184812018034863|8.369624036069727|12.55443605410459
34.4|1.0|0.02|0.0|0|4.009498916634475|8.01899783326895|12.028496749903423
34.6|1.0|0.02|0.0|0|3.9584184805571567|7.9168369611143135|11.87525544167147
34.8|1.0|0.02|0.0|0|3.817789625878213|7.635579251756426|11.453368877634638
35.0|1.0|0.02|0.0|0|3.3631106829224153|6.726221365844831|10.089332048767245
35.2|1.0|0.02|0.0|0|3.705538791093277|7.411077582186554|11.11661637327983
35.4|1.0|0.02|0.0|0|4.008237671222305|8.01647534244461|12.024713013666915
35.6|1.0|0.02|0.0|0|4.421926140848663|8.843852281697327|13.26577842254599
35.8|1.0|0.02|0.0|0|3.7988709458470113|7.597741891694023|11.396612837541033
36.0|1.0|0.02|0.0|0|4.733453738291282|9.466907476582564|14.200361214873846
36.2|1.0|0.02|0.0|0|4.314089664834319|8.628179329668638|12.942268994502955
36.4|1.0|0.02|0.0|0|4.479312803475769|8.958625606951538|13.437938410427304
36.6|1.0|0.02|0.0|0|4.644535942181246|9.289071884362492|13.933607826543739
36.8|1.0|0.02|0.0|0|4.080128655249719|8.160257310499437|12.240385965749155
37.0|1.0|0.02|0.0|0|4.321657136778231|8.643314273556461|12.964971410334693
37.2|1.0|0.02|0.0|0|4.392286875411519|8.784573750823037|13.176860626234555
37.4|1.0|0.02|0.0|0|4.611743563489872|9.223487126979744|13.835230690469615
37.6|1.0|0.02|0.0|0|3.900401195230661|7.800802390461322|11.701203585691982
37.8|1.0|0.02|0.0|0|4.47615969009872|8.95231938019744|13.428479070296161
38.0|1.0|0.02|0.0|0|3.6355396751890656|7.271079350378131|10.906619025567197
38.2|1.0|0.02|0.0|0|3.6904038469941587|7.380807693988317|11.071211540982477
38.4|1.0|0.02|0.0|0|4.321657136686262|8.643314273372525|12.964971410058787
38.6|1.0|0.02|0.0|0|4.716426926297136|9.432853852594272|14.149280778891406
